    np2    ns2
   1226   1597
 Face:           1
       818       466       465
       818       465       819
       817       466       818
       465       464       819
       817       467       466
       819       464       820
       816       467       817
       464         3       820
       816       468       467
       820         3       558
       815       468       816
       558         3       559
       820       558       821
       815       469       468
       559         3       560
       821       558       557
       814       469       815
       821       557      1075
       814       470       469
      1075       557      1076
       821      1075      1074
       813       470       814
      1076       557       556
       261      1075      1076
      1075       258      1074
       821      1074       822
       813       471       470
      1077      1076       556
       262       261      1076
       261       260      1075
      1074       258       257
      1075       259       258
       822      1074       823
       812       471       813
      1077       556       555
       262      1076      1077
       259      1075       260
      1074       257       256
       823      1074       824
       812       472       471
      1078      1077       555
       263       262      1077
      1074       256      1073
       824      1074      1073
         4       472       812
      1079      1078       555
       264      1077      1078
       264       263      1077
      1073       256       255
       824      1073       825
      1080      1079       555
       266      1078      1079
       265       264      1078
      1073       255       254
       825      1073       826
      1080       555       554
       267      1079      1080
       267       266      1079
       266       265      1078
      1073       254      1072
       826      1073      1072
      1081      1080       554
       268       267      1080
      1072       254       253
       826      1072       827
      1082      1081       554
       269      1080      1081
       269       268      1080
      1072       253       252
       827      1072       828
      1082       554       553
       271      1081      1082
       270       269      1081
      1072       252      1071
       828      1072      1071
      1083      1082       553
       272       271      1082
       271       270      1081
      1071       252       251
       828      1071       829
      1084      1083       553
       273      1082      1083
       273       272      1082
      1071       251      1070
       829      1071       830
      1084       553       552
       274      1083      1084
       274       273      1083
      1070       251       250
       830      1071      1070
      1085      1084       552
       275       274      1084
      1070       250       249
       830      1070       831
      1086      1085       552
       276      1084      1085
       276       275      1084
      1070       249      1069
       831      1070      1069
      1086       552       551
       278      1085      1086
       277       276      1085
      1069       249       248
       831      1069       832
      1087      1086       551
       279       278      1086
       278       277      1085
      1069       248       247
       832      1069       833
      1088      1087       551
       280      1086      1087
       280       279      1086
      1069       247       246
       833      1069      1068
      1088       551       550
       281      1087      1088
       281       280      1087
      1069       246      1068
       833      1068       834
      1089      1088       550
       282       281      1088
      1068       246         2
       834      1068      1067
      1090      1089       550
       283      1088      1089
       283       282      1088
      1068         2       245
      1068       245      1067
       834      1067       835
      1090       550       549
       285      1089      1090
       284       283      1089
      1067       245       244
       835      1067      1066
      1091      1090       549
       286       285      1090
       285       284      1089
      1067       244       243
      1067       243      1066
       835      1066       836
      1092      1091       549
       287      1090      1091
       287       286      1090
      1066       243       242
       836      1066       837
      1093      1092       549
       288      1091      1092
       288       287      1091
      1066       242      1065
       837      1066      1065
      1093       549       548
       290      1092      1093
       289       288      1092
      1065       242       241
       837      1065       838
      1094      1093       548
       291       290      1093
       290       289      1092
      1065       241       240
       838      1065       839
      1095      1094       548
       291      1093      1094
      1065       240      1064
       839      1065      1064
      1095       548       547
       292      1094      1095
       292       291      1094
      1064       240       239
       839      1064       840
      1096      1095       547
       293       292      1095
      1064       239      1063
       840      1064      1063
      1097      1096       547
       294      1095      1096
       294       293      1095
      1063       239       238
       840      1063       841
      1098      1097       547
       296      1096      1097
       295       294      1096
      1063       238       237
       841      1063      1062
       547       546      1098
       297      1097      1098
       297       296      1097
       296       295      1096
      1063       237       236
      1063       236      1062
       841      1062       842
      1098       546      1099
       297      1098       298
      1062       236       235
       842      1062      1061
      1099       546      1100
      1098      1099       299
       298      1098       299
      1062       235      1061
       842      1061       843
       546       545      1100
      1099      1100       300
       299      1099       300
      1061       235       234
       843      1061      1060
      1100       545      1101
       300      1100       301
      1061       234       233
      1061       232      1060
       843      1060      1059
      1101       545      1102
      1100      1101       301
      1061       233       232
      1060       232       231
      1060       230      1059
       843      1059       844
      1102       545      1103
      1101      1102       303
       301      1101       302
      1060       231       230
      1059       230       229
       844      1059      1058
       545       544      1103
      1102      1103       305
       303      1102       304
       302      1101       303
      1059       229       228
      1059       228      1058
       844      1058       845
      1103       544      1104
       305      1103       306
       304      1102       305
      1058       228       227
       845      1058      1057
      1104       544      1105
      1103      1104       306
      1058       227       226
      1058       226      1057
       845      1057       846
       544       543      1105
      1104      1105       307
       306      1104       307
      1057       226       225
       846      1057      1056
      1105       543      1106
       307      1105       308
      1057       225      1056
       846      1056      1055
      1106       543      1107
      1105      1106       309
       308      1105       309
      1056       225       224
       223      1055      1056
       846      1055       847
       543       542      1107
      1106      1107       312
       309      1106       310
      1056       224       223
       223       222      1055
      1055       715       847
      1107       542      1108
       312      1107       313
       311      1106       312
       310      1106       311
       222       221      1055
       847       715       848
      1055      1054       715
      1108       542      1109
      1107      1108       313
       221       220      1055
       848       715       811
      1054      1053       715
       220      1054      1055
       542       541      1109
      1108      1109       314
       313      1108       314
       715         9       811
       848       811       810
      1053      1052       715
       219      1053      1054
       220       219      1054
      1109       541      1110
       314      1109       315
       848       810       849
      1052      1051       715
       218      1052      1053
       219       218      1053
      1110       541      1111
      1109      1110       316
       315      1109       316
       849       810       809
      1051      1050       715
       217      1051      1052
       218       217      1052
       541       540      1111
      1110      1111       318
       316      1110       317
       849       809       850
      1050       716       715
       216      1050      1051
       217       216      1051
      1111       540      1112
       318      1111       319
       317      1110       318
       850       809       808
      1050      1049       716
       216       215      1050
      1112       540      1113
      1111      1112       319
       850       808       851
      1049      1048       716
       215      1049      1050
      1113       540      1114
      1112      1113       321
       319      1112       320
       851       808       807
      1048       717       716
       214      1048      1049
       215       214      1049
       540       539      1114
      1113      1114       322
       321      1113       322
       320      1112       321
       851       807       852
      1048      1047       717
       214       213      1048
      1114       539      1115
       322      1114       323
       852       807       806
      1047      1046       717
       212      1047      1048
       213       212      1048
      1115       539      1116
      1114      1115       324
       323      1114       324
       852       806       853
      1046       718       717
       211      1046      1047
       212       211      1047
       539       538      1116
      1115      1116       326
       324      1115       325
       853       806       805
      1046      1045       718
       211       210      1046
      1116       538      1117
       326      1116       327
       325      1115       326
       853       805       854
      1045       719       718
       210      1045      1046
      1117       538      1118
      1116      1117       327
       854       805       804
      1045      1044       719
       210       209      1045
       538       537      1118
      1117      1118       329
       327      1117       328
       854       804       855
      1044       720       719
       209      1044      1045
      1118       537      1119
       329      1118       330
       328      1117       329
       855       804       803
      1044      1043       720
       209       208      1044
      1119       537      1120
      1118      1119       330
       855       803        10
      1043       721       720
       208      1043      1044
       537       536      1120
      1119      1120       331
       330      1119       331
      1043      1042       721
       208       207      1043
      1120       536      1121
       331      1120       332
      1042      1041       721
       207      1042      1043
      1121       536      1122
      1120      1121       334
       332      1120       333
      1041       722       721
       206      1041      1042
       207       206      1042
       536       535      1122
      1121      1122       335
       334      1121       335
       333      1120       334
      1041      1040       722
       206       205      1041
      1122       535      1123
       335      1122       336
      1040       723       722
       205      1040      1041
      1123       535      1124
      1122      1123       337
       336      1122       337
      1040      1039       723
       205       204      1040
       535       534      1124
      1123      1124       338
       337      1123       338
      1039       724       723
       204      1039      1040
      1124       534      1125
       338      1124       339
      1039      1038       724
       204       203      1039
      1125       534      1126
      1124      1125       340
       339      1124       340
      1038       725       724
       203      1038      1039
       534       533      1126
      1125      1126       341
       340      1125       341
      1038      1037       725
       203       202      1038
      1126       533      1127
       341      1126       342
      1037      1036       725
       202      1037      1038
      1127       533      1128
      1126      1127       343
       342      1126       343
      1036       726       725
       201      1036      1037
       202       201      1037
       533       532      1128
      1127      1128       344
       343      1127       344
      1036      1035       726
       201       200      1036
      1128       532      1129
       344      1128       345
      1035       727       726
       200      1035      1036
      1129       532      1130
      1128      1129       346
       345      1128       346
      1035      1034       727
       200       199      1035
      1130       532      1131
      1129      1130       347
       346      1129       347
      1034       728       727
       199      1034      1035
       532       531      1131
      1130      1131       349
       347      1130       348
      1034      1033       728
       199       198      1034
      1131       531      1132
       349      1131       350
       348      1130       349
      1033       729       728
       198      1033      1034
      1132       531      1133
      1131      1132       350
      1033      1032       729
       198       197      1033
       531       530      1133
      1132      1133       351
       350      1132       351
      1032       730       729
       197      1032      1033
      1133       530      1134
       351      1133       352
      1032      1031       730
       197       196      1032
      1134       530      1135
      1133      1134       353
       352      1133       353
      1031      1030       730
       196      1031      1032
       530       529      1135
      1134      1135       354
       353      1134       354
      1030       731       730
       195      1030      1031
       196       195      1031
      1135       529      1136
       354      1135       355
      1030      1029       731
       195       194      1030
      1136       529      1137
      1135      1136       356
       355      1135       356
      1029       732       731
       194      1029      1030
      1137       529      1138
      1136      1137       357
       356      1136       357
      1029      1028       732
       194       193      1029
       529       528      1138
      1137      1138       358
       357      1137       358
      1028       733       732
       193      1028      1029
      1138       528      1139
       358      1138       359
      1028      1027       733
       193       192      1028
      1139       528      1140
      1138      1139       359
      1027       734       733
       192      1027      1028
      1140       528      1141
      1139      1140       360
       359      1139       360
      1027      1026       734
       192       191      1027
       528       527      1141
      1140      1141       361
       360      1140       361
      1026      1025       734
       191      1026      1027
      1141       527      1142
       361      1141       362
      1025       735       734
       190      1025      1026
       191       190      1026
       527       526      1142
      1141      1142       363
       362      1141       363
      1025      1024       735
       190       189      1025
      1142       526      1143
       363      1142       364
      1024       736       735
       189      1024      1025
      1143       526      1144
      1142      1143       364
      1024      1023       736
       189       188      1024
      1144       526      1145
      1143      1144       365
       364      1143       365
      1023       737       736
       188      1023      1024
       526       525      1145
      1144      1145       366
       365      1144       366
      1023      1022       737
       188       187      1023
      1145       525      1146
       366      1145       367
      1022       738       737
       187      1022      1023
      1146       525      1147
      1145      1146       367
      1022      1021       738
       187       186      1022
      1147       525      1148
      1146      1147       368
       367      1146       368
      1021      1020       738
       186      1021      1022
       525       524      1148
      1147      1148       369
       368      1147       369
      1020       739       738
       185      1020      1021
       186       185      1021
      1148       524      1149
       369      1148       370
      1020      1019       739
       185       184      1020
      1149       524      1150
      1148      1149       370
      1019       740       739
       184      1019      1020
      1150       524      1151
      1149      1150       371
       370      1149       371
      1019      1018       740
       184       183      1019
       524       523      1151
      1150      1151       372
       371      1150       372
      1018       741       740
       183      1018      1019
      1151       523      1152
       372      1151       373
      1018      1017       741
       183       182      1018
      1152       523      1153
      1151      1152       373
      1017      1016       741
       182      1017      1018
      1153       523      1154
      1152      1153       374
       373      1152       374
      1016       742       741
       181      1016      1017
       182       181      1017
       523       522      1154
      1153      1154       375
       374      1153       375
      1016      1015       742
       181       180      1016
      1154       522      1155
       375      1154       376
      1015       743       742
       180      1015      1016
      1155       522      1156
      1154      1155       377
       376      1154       377
      1015      1014       743
       180       179      1015
       522       521      1156
      1155      1156       378
       377      1155       378
      1014      1013       743
       179      1014      1015
      1156       521      1157
       378      1156       379
      1013       744       743
       178      1013      1014
       179       178      1014
      1157       521      1158
      1156      1157       379
      1013      1012       744
       178       177      1013
      1158       521      1159
      1157      1158       380
       379      1157       380
      1012       745       744
       177      1012      1013
       521       520      1159
      1158      1159       381
       380      1158       381
      1012      1011       745
       177       176      1012
      1159       520      1160
       381      1159       382
      1011      1010       745
       176      1011      1012
      1160       520      1161
      1159      1160       382
      1010       746       745
       175      1010      1011
       176       175      1011
       520       519      1161
      1160      1161       384
       382      1160       383
      1010      1009       746
       175       174      1010
      1161       519      1162
       384      1161       385
       383      1160       384
      1009       747       746
       174      1009      1010
      1162       519      1163
      1161      1162       385
      1009      1008       747
       174       173      1009
       519       518      1163
      1162      1163       386
       385      1162       386
      1008      1007       747
       173      1008      1009
      1163       518      1164
       386      1163       387
      1007       748       747
       172      1007      1008
       173       172      1008
      1164       518      1165
      1163      1164       387
      1007      1006       748
       172       171      1007
      1165       518      1166
      1164      1165       388
       387      1164       388
      1006       749       748
       171      1006      1007
       518       517      1166
      1165      1166       389
       388      1165       389
      1006      1005       749
       171       170      1006
      1166       517      1167
       389      1166       390
      1005      1004       749
       170      1005      1006
      1167       517      1168
      1166      1167       390
      1004       750       749
       169      1004      1005
       170       169      1005
       517       516      1168
      1167      1168       392
       390      1167       391
      1004      1003       750
       169       168      1004
      1168       516      1169
       392      1168       393
       391      1167       392
      1003       751       750
       168      1003      1004
      1169       516      1170
      1168      1169       393
      1003      1002       751
       168       167      1003
       516       515      1170
      1169      1170       394
       393      1169       394
      1002      1001       751
       167      1002      1003
      1170       515      1171
       394      1170       395
      1001       752       751
       166      1001      1002
       167       166      1002
      1171       515      1172
      1170      1171       396
       395      1170       396
      1001      1000       752
       166       165      1001
       515       514      1172
      1171      1172       397
       396      1171       397
      1000       999       752
       165      1000      1001
      1172       514      1173
       397      1172       398
       999       753       752
       164       999      1000
       165       164      1000
      1173       514      1174
      1172      1173       398
       999       998       753
       164       163       999
      1174       514      1175
      1173      1174       399
       398      1173       399
       998       754       753
       163       998       999
       514       513      1175
      1174      1175       400
       399      1174       400
       998       997       754
       163       162       998
      1175       513      1176
       400      1175       401
       997       996       754
       162       997       998
      1176       513      1177
      1175      1176       401
       996       755       754
       161       996       997
       162       161       997
       513       512      1177
      1176      1177       402
       401      1176       402
       996       995       755
       161       160       996
      1177       512      1178
       402      1177       403
       995       994       755
       160       995       996
      1178       512      1179
      1177      1178       403
       994       756       755
       159       994       995
       160       159       995
      1179       512      1180
      1178      1179       404
       403      1178       404
       994       993       756
       159       158       994
       512       511      1180
      1179      1180       405
       404      1179       405
       993       757       756
       158       993       994
      1180       511      1181
       405      1180       406
       993       992       757
       158       157       993
      1181       511      1182
      1180      1181       406
       992       991       757
       157       992       993
      1182       511      1183
      1181      1182       407
       406      1181       407
       991       758       757
       156       991       992
       157       156       992
       511       510      1183
      1182      1183       408
       407      1182       408
       991       990       758
       156       155       991
      1183       510      1184
       408      1183       409
       990       989       758
       155       990       991
       510       509      1184
      1183      1184       410
       409      1183       410
       989       759       758
       154       989       990
       155       154       990
      1184       509      1185
       410      1184       411
       989       988       759
       154       153       989
      1185       509      1186
      1184      1185       411
       988       987       759
       153       988       989
      1186       509      1187
      1185      1186       412
       411      1185       412
       987       760       759
       152       987       988
       153       152       988
       509       508      1187
      1186      1187       413
       412      1186       413
       987       986       760
       152       151       987
      1187       508      1188
       413      1187       414
       986       761       760
       151       986       987
      1188       508      1189
      1187      1188       414
       986       985       761
       151       150       986
      1189       508      1190
      1188      1189       415
       414      1188       415
       985       984       761
       150       985       986
       508       507      1190
      1189      1190       416
       415      1189       416
       984       762       761
       149       984       985
       150       149       985
      1190       507      1191
       416      1190       417
       984       983       762
       149       148       984
      1191       507      1192
      1190      1191       417
       983       982       762
       148       983       984
       507       506      1192
      1191      1192       418
       417      1191       418
       982       763       762
       147       982       983
       148       147       983
      1192       506      1193
       418      1192       419
       982       981       763
       147       146       982
      1193       506      1194
      1192      1193       420
       419      1192       420
       981       980       763
       146       981       982
       506       505      1194
      1193      1194       421
       420      1193       421
       980       764       763
       145       980       981
       146       145       981
      1194       505      1195
       421      1194       422
       980       979       764
       145       144       980
      1195       505      1196
      1194      1195       422
       979       765       764
       144       979       980
       505       504      1196
      1195      1196       423
       422      1195       423
       979       978       765
       144       143       979
      1196       504      1197
       423      1196       424
       978       977       765
       143       978       979
      1197       504      1198
      1196      1197       424
       977       766       765
       142       977       978
       143       142       978
       504       503      1198
      1197      1198       426
       424      1197       425
       977       976       766
       142       141       977
      1198       503      1199
       426      1198       427
       425      1197       426
       976       975       766
       141       976       977
      1199       503      1200
      1198      1199       427
       975       767       766
       140       975       976
       141       140       976
       503       502      1200
      1199      1200       429
       427      1199       428
